数据类型,订单号,采购单号,物料ID,供应商代码,变更类型,原交付日期,新交付日期,变更天数,变更原因,变更来源,变更时间
交期变更记录,SO-2026-00517,,P0018,SUP003,供应商延期,2026/5/14,2026/5/31,17,设备故障维修影响产出,采购员,2026/4/22
交期变更记录,SO-2026-06619,PO20260700002,P0085,SUP005,供应商延期,2026/7/13,2026/7/18,5,上游芯片短缺传导影响,系统,2026/6/15
交期变更记录,SO-2026-07938,,P0021,SUP028,供应商提前,2026/5/29,2026/5/22,-7,供应商优化排产,计划员,2026/5/10
交期变更记录,SO-2026-07279,PO20270200004,P0007,SUP014,客户加急,2027/2/1,2027/1/18,-14,终端客户大促活动提前,系统,2027/1/9
交期变更记录,SO-2026-01261,,P0041,SUP003,供应商延期,2026/6/2,2026/6/8,6,质量检验不合格返工,客户,2026/5/21
交期变更记录,SO-2026-01537,PO20260700006,P0042,SUP034,供应商延期,2026/7/27,2026/8/1,5,上游芯片短缺传导影响,系统,2026/7/26
交期变更记录,SO-2026-10802,PO20260600007,P0094,SUP037,客户加急,2026/6/13,2026/5/31,-13,竞品上市压力,供应商,2026/6/1
交期变更记录,SO-2026-00957,PO20270100008,P0059,SUP023,供应商延期,2027/1/4,2027/1/16,12,质量检验不合格返工,计划员,2026/12/30
交期变更记录,SO-2026-00450,PO20270300009,P0029,SUP015,供应商延期,2027/3/5,2027/3/20,15,质量检验不合格返工,系统,2027/2/13
交期变更记录,SO-2026-05370,PO20260900010,P0044,SUP019,客户加急,2026/9/3,2026/8/19,-15,竞品上市压力,采购员,2026/8/7
交期变更记录,SO-2026-03834,,P0086,SUP023,物料短缺,2027/4/23,2027/4/11,-12,PCB板交期延长,计划员,2027/4/20
交期变更记录,SO-2026-01795,PO20260900012,P0015,SUP031,供应商延期,2026/9/8,2026/9/10,2,原材料到货延迟,客户,2026/8/24
交期变更记录,SO-2026-07062,PO20261000013,P0099,SUP025,供应商延期,2026/10/28,2026/11/3,6,供应商产线故障维修,客户,2026/10/2
交期变更记录,SO-2026-08881,,P0076,SUP025,供应商延期,2026/12/26,2027/1/2,7,原材料到货延迟,计划员,2026/12/21
交期变更记录,SO-2026-13364,,P0011,SUP036,供应商延期,2026/8/30,2026/9/11,12,质量异常批量返工,计划员,2026/8/2
交期变更记录,SO-2026-08357,PO20270100016,P0052,SUP017,供应商延期,2027/1/18,2027/2/1,14,物流运输途中延误,系统,2027/1/2
交期变更记录,SO-2026-07191,,P0044,SUP017,供应商延期,2026/9/8,2026/9/23,15,质量检验不合格返工,供应商,2026/9/1
交期变更记录,SO-2026-13487,PO20260700018,P0075,SUP010,客户延后,2026/7/9,2026/7/18,9,客户项目延期,系统,2026/6/14
交期变更记录,SO-2026-01047,PO20261200019,P0058,SUP010,客户加急,2026/12/27,2026/12/16,-11,终端客户大促活动提前,采购员,2026/11/30
交期变更记录,SO-2026-11895,,P0008,SUP012,客户加急,2026/8/21,2026/8/16,-5,客户生产线紧急启动,客户,2026/8/8
交期变更记录,SO-2026-03831,,P0060,SUP022,供应商延期,2026/12/14,2027/1/3,20,原材料到货延迟,系统,2026/12/6
交期变更记录,SO-2026-02142,PO20270300022,P0060,SUP031,物流问题,2027/3/8,2027/3/21,13,空运舱位不足改海运,客户,2027/2/15
交期变更记录,SO-2026-04725,PO20270200023,P0070,SUP018,供应商延期,2027/2/14,2027/2/16,2,恶劣天气影响运输,计划员,2027/1/18
交期变更记录,SO-2026-07677,,P0001,SUP021,供应商延期,2027/1/17,2027/2/2,16,物流运输途中延误,系统,2026/12/27
交期变更记录,SO-2026-01839,PO20260700025,P0084,SUP001,供应商延期,2026/7/11,2026/7/16,5,供应商产线故障维修,供应商,2026/6/28
交期变更记录,SO-2026-10511,PO20260600026,P0055,SUP033,供应商延期,2026/6/13,2026/6/15,2,供应商原材料短缺,系统,2026/5/17
交期变更记录,SO-2026-10432,PO20260600027,P0073,SUP024,客户加急,2026/6/11,2026/6/6,-5,客户生产线紧急启动,计划员,2026/5/16
交期变更记录,SO-2026-11671,,P0100,SUP021,供应商延期,2026/8/1,2026/8/13,12,供应商产线故障维修,系统,2026/7/2
交期变更记录,SO-2026-02604,,P0067,SUP024,客户加急,2027/3/28,2027/3/14,-14,客户生产线紧急启动,计划员,2027/3/9
交期变更记录,SO-2026-10455,PO20260600030,P0033,SUP022,物流问题,2026/6/12,2026/6/25,13,运输车辆故障,系统,2026/5/13
交期变更记录,SO-2026-08930,PO20260800031,P0041,SUP025,客户加急,2026/8/11,2026/8/5,-6,终端市场需求激增,采购员,2026/7/27
交期变更记录,SO-2026-11788,,P0050,SUP012,供应商延期,2026/7/23,2026/8/4,12,原材料到货延迟,计划员,2026/7/22
交期变更记录,SO-2026-07263,PO20260800033,P0056,SUP011,供应商延期,2026/8/26,2026/9/9,14,供应商产线故障维修,系统,2026/8/5
交期变更记录,SO-2026-04232,,P0029,SUP006,供应商延期,2026/6/30,2026/7/5,5,供应商产线故障维修,系统,2026/6/11
交期变更记录,SO-2026-12755,PO20260600035,P0043,SUP026,供应商延期,2026/6/14,2026/6/28,14,恶劣天气影响运输,系统,2026/5/26
交期变更记录,SO-2026-10792,,P0025,SUP014,供应商提前,2026/6/13,2026/6/9,-4,供应商优化排产,系统,2026/5/28
交期变更记录,SO-2026-00706,,P0008,SUP012,供应商延期,2026/5/10,2026/5/30,20,供应商原材料短缺,计划员,2026/5/9
交期变更记录,SO-2026-10987,PO20260600038,P0067,SUP037,供应商延期,2026/6/10,2026/6/21,11,恶劣天气影响运输,系统,2026/5/27
交期变更记录,SO-2026-09317,PO20270500039,P0093,SUP037,供应商延期,2027/5/16,2027/5/23,7,物流运输途中延误,系统,2027/4/26
交期变更记录,SO-2026-11115,PO20260600040,P0083,SUP022,供应商延期,2026/6/11,2026/6/24,13,原材料到货延迟,采购员,2026/5/20
交期变更记录,SO-2026-13343,,P0081,SUP022,客户加急,2026/7/20,2026/7/14,-6,客户展会提前需要,系统,2026/7/14
交期变更记录,SO-2026-03752,PO20260700042,P0002,SUP023,供应商延期,2026/7/30,2026/8/2,3,工人返岗率不足,系统,2026/7/17
交期变更记录,SO-2026-04108,PO20270300043,P0059,SUP037,供应商延期,2027/3/28,2027/4/7,10,物流运输途中延误,系统,2027/3/5
交期变更记录,SO-2026-03740,PO20260800044,P0086,SUP027,供应商延期,2026/8/14,2026/8/19,5,恶劣天气影响运输,系统,2026/8/4
交期变更记录,SO-2026-00887,PO20260900045,P0021,SUP032,供应商延期,2026/9/2,2026/9/16,14,恶劣天气影响运输,系统,2026/8/3
交期变更记录,SO-2026-06774,PO20260700046,P0063,SUP027,供应商延期,2026/7/4,2026/7/7,3,供应商原材料短缺,计划员,2026/6/20
交期变更记录,SO-2026-10102,PO20260600047,P0010,SUP017,客户加急,2026/6/12,2026/5/28,-15,客户展会提前需要,系统,2026/6/4
交期变更记录,SO-2026-08498,,P0030,SUP031,供应商延期,2027/2/3,2027/2/11,8,供应商原材料短缺,系统,2027/1/15
交期变更记录,SO-2026-00043,PO20260400049,P0073,SUP030,供应商延期,2026/4/17,2026/4/23,6,供应商产线故障维修,系统,2026/3/29
交期变更记录,SO-2026-07628,PO20260600050,P0023,SUP037,客户加急,2026/6/23,2026/6/10,-13,终端市场需求激增,系统,2026/6/21
交期变更记录,SO-2026-10303,PO20260600051,P0086,SUP030,客户加急,2026/6/14,2026/6/8,-6,终端市场需求激增,系统,2026/6/10
交期变更记录,SO-2026-09609,PO20270300052,P0055,SUP030,供应商延期,2027/3/2,2027/3/8,6,质量检验不合格返工,系统,2027/2/22
交期变更记录,SO-2026-07196,PO20260900053,P0072,SUP019,客户延后,2026/9/26,2026/10/11,15,客户仓库容量不足,计划员,2026/9/14
交期变更记录,SO-2026-02305,,P0034,SUP028,物料短缺,2026/10/8,2026/9/29,-9,显示屏面板缺货,系统,2026/9/10
交期变更记录,SO-2026-04762,PO20260700055,P0050,SUP015,物料短缺,2026/7/3,2026/6/22,-11,显示屏面板缺货,计划员,2026/6/7
